column,min,max,width,hidden,best_fit,outline_level,collapsed,style_id,custom_width
BYU,2023,2023,23.77734375,False,False,0,False,169,True
BYV,2024,2024,17.21875,False,False,0,False,169,True
BYW,2025,2025,15.0,False,False,0,False,169,True
BYX,2026,2026,18.77734375,False,True,0,False,169,True
BYY,2027,2027,15.21875,False,False,0,False,169,True
BYZ,2028,2028,9.77734375,False,False,0,False,169,True
BZA,2029,2029,41.21875,False,False,0,False,169,True
BZB,2030,2030,41.44140625,False,False,0,False,169,True
BZC,2031,2032,22.44140625,False,False,0,False,169,True
BZE,2033,2033,30.44140625,False,False,0,False,169,True
BZF,2034,2034,33.21875,False,False,0,False,169,True
BZG,2035,2035,21.21875,False,False,0,False,169,True
BZH,2036,2276,9.21875,False,False,0,False,169,True
CIO,2277,2277,2.77734375,False,False,0,False,169,True
CIP,2278,2278,7.21875,False,False,0,False,169,True
CIQ,2279,2279,23.77734375,False,False,0,False,169,True
CIR,2280,2280,17.21875,False,False,0,False,169,True
CIS,2281,2281,15.0,False,False,0,False,169,True
CIT,2282,2282,18.77734375,False,True,0,False,169,True
CIU,2283,2283,15.21875,False,False,0,False,169,True
CIV,2284,2284,9.77734375,False,False,0,False,169,True
CIW,2285,2285,41.21875,False,False,0,False,169,True
CIX,2286,2286,41.44140625,False,False,0,False,169,True
CIY,2287,2288,22.44140625,False,False,0,False,169,True
CJA,2289,2289,30.44140625,False,False,0,False,169,True
CJB,2290,2290,33.21875,False,False,0,False,169,True
CJC,2291,2291,21.21875,False,False,0,False,169,True
CJD,2292,2532,9.21875,False,False,0,False,169,True
CSK,2533,2533,2.77734375,False,False,0,False,169,True
CSL,2534,2534,7.21875,False,False,0,False,169,True
CSM,2535,2535,23.77734375,False,False,0,False,169,True
CSN,2536,2536,17.21875,False,False,0,False,169,True
CSO,2537,2537,15.0,False,False,0,False,169,True
CSP,2538,2538,18.77734375,False,True,0,False,169,True
CSQ,2539,2539,15.21875,False,False,0,False,169,True
CSR,2540,2540,9.77734375,False,False,0,False,169,True
CSS,2541,2541,41.21875,False,False,0,False,169,True
CST,2542,2542,41.44140625,False,False,0,False,169,True
CSU,2543,2544,22.44140625,False,False,0,False,169,True
CSW,2545,2545,30.44140625,False,False,0,False,169,True
CSX,2546,2546,33.21875,False,False,0,False,169,True
CSY,2547,2547,21.21875,False,False,0,False,169,True
CSZ,2548,2788,9.21875,False,False,0,False,169,True
DCG,2789,2789,2.77734375,False,False,0,False,169,True
DCH,2790,2790,7.21875,False,False,0,False,169,True
DCI,2791,2791,23.77734375,False,False,0,False,169,True
DCJ,2792,2792,17.21875,False,False,0,False,169,True
DCK,2793,2793,15.0,False,False,0,False,169,True
DCL,2794,2794,18.77734375,False,True,0,False,169,True
DCM,2795,2795,15.21875,False,False,0,False,169,True
DCN,2796,2796,9.77734375,False,False,0,False,169,True
DCO,2797,2797,41.21875,False,False,0,False,169,True
DCP,2798,2798,41.44140625,False,False,0,False,169,True
DCQ,2799,2800,22.44140625,False,False,0,False,169,True
DCS,2801,2801,30.44140625,False,False,0,False,169,True
DCT,2802,2802,33.21875,False,False,0,False,169,True
