sheet,cell,row,column,column_letter,data_type,is_date,value,formula,style_id,number_format,font_name,font_size,bold,italic,underline,font_color_rgb,fill_type,fill_fg_rgb,align_h,align_v,wrap_text,text_rotation,border_left,border_right,border_top,border_bottom,locked,hidden_formula,hyperlink_target,comment_author,comment_text,merged_range,row_height,column_width
MOV-PLC,B7,7,2,B,s,False,MOV TO PLC SIGNALS,,163,0,Aptos,18.0,True,False,,,solid,Values must be of type <class 'str'>,center,center,True,0,thin,thin,thin,thin,True,False,,,,B7:N7,30.0,14.88671875
MOV-PLC,B8,8,2,B,n,False,1,,155,0,Aptos,18.0,False,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,B8:B17,30.0,14.88671875
MOV-PLC,C8,8,3,C,s,False,20GAC003SV001,,156,0,Aptos,18.0,False,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,C8:C17,30.0,31.77734375
MOV-PLC,D8,8,4,D,s,False,"10C x 1.0 SQ.MM
(3RD  to 10TH CORE SPARE)",,156,0,Aptos,18.0,False,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,D8:D17,30.0,45.44140625
MOV-PLC,E8,8,5,E,s,False,1C,,155,0,Aptos,18.0,False,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,,30.0,16.21875
MOV-PLC,F8,8,6,F,s,False,DY4,,155,0,Aptos,18.0,False,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,,30.0,19.21875
MOV-PLC,G8,8,7,G,n,False,5,,155,0,Aptos,18.0,False,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,,30.0,20.109375
MOV-PLC,H8,8,8,H,f,False,"=CONCATENATE(G8,""-"",F8,""-"",""/"",K8,""-"",J8)","=CONCATENATE(G8,""-"",F8,""-"",""/"",K8,""-"",J8)",155,0,Aptos,18.0,False,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,,30.0,49.5546875
MOV-PLC,I8,8,9,I,f,False,"=CONCATENATE(J8,""-"",K8,""/"",""-"",F8,""-"",G8)","=CONCATENATE(J8,""-"",K8,""/"",""-"",F8,""-"",G8)",155,0,Aptos,18.0,False,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,,30.0,13.0
MOV-PLC,J8,8,10,J,n,False,42,,155,0,Aptos,18.0,False,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,,30.0,29.0
MOV-PLC,K8,8,11,K,f,False,=C8,=C8,155,0,Aptos,18.0,False,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,K8:K17,30.0,31.77734375
MOV-PLC,L8,8,12,L,s,False,Solenoid Valve,,157,General,Aptos,18.0,False,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,L8:L17,30.0,58.88671875
MOV-PLC,M8,8,13,M,s,False,"""OPEN/CLOSE"" Command",,74,General,Aptos,18.0,False,False,,Values must be of type <class 'str'>,,00000000,left,center,True,0,thin,thin,thin,thin,True,False,,,,,30.0,62.109375
MOV-PLC,N8,8,14,N,n,False,,,156,0,Aptos,18.0,False,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,N8:N17,30.0,77.88671875
MOV-PLC,E9,9,5,E,s,False,2C,,155,0,Aptos,18.0,False,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,,30.0,16.21875
MOV-PLC,F9,9,6,F,s,False,DY4,,155,0,Aptos,18.0,False,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,,30.0,19.21875
MOV-PLC,G9,9,7,G,n,False,6,,155,0,Aptos,18.0,False,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,,30.0,20.109375
MOV-PLC,H9,9,8,H,f,False,"=CONCATENATE(G9,""-"",F9,""-"",""/"",K8,""-"",J9)","=CONCATENATE(G9,""-"",F9,""-"",""/"",K8,""-"",J9)",155,0,Aptos,18.0,False,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,,30.0,49.5546875
