sheet,cell,row,column,column_letter,data_type,is_date,value,formula,style_id,number_format,font_name,font_size,bold,italic,underline,font_color_rgb,fill_type,fill_fg_rgb,align_h,align_v,wrap_text,text_rotation,border_left,border_right,border_top,border_bottom,locked,hidden_formula,hyperlink_target,comment_author,comment_text,merged_range,row_height,column_width
FIELD ANALOG INST- PLC,O4,4,15,O,f,False,=Cover!B45,=Cover!B45,158,d-mmm-yy,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,O4:Q4,60.0,17.88671875
FIELD ANALOG INST- PLC,AE4,4,31,AE,n,False,,,10,General,Arial,10.0,False,False,,,solid,FFFFFF00,,,,0,,medium,,,True,False,,,,,60.0,13.0
FIELD ANALOG INST- PLC,B5,5,2,B,s,False,S.NO,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,B5:B6,30.0,12.88671875
FIELD ANALOG INST- PLC,C5,5,3,C,s,False,TERMINATING AT PLC END,,161,General,Aptos,18.0,True,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,C5:F5,30.0,31.0
FIELD ANALOG INST- PLC,G5,5,7,G,s,False,"FERRULE:
PLC END",,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,G5:G6,30.0,32.109375
FIELD ANALOG INST- PLC,H5,5,8,H,s,False,"FERRULE:
PLC-JB END",,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,H5:H6,30.0,36.5546875
FIELD ANALOG INST- PLC,I5,5,9,I,s,False,JB DETAILS,,161,General,Aptos,18.0,True,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,I5:J5,30.0,21.0
FIELD ANALOG INST- PLC,K5,5,11,K,s,False,"FERRULE:
JB-FIELD END",,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,K5:K6,30.0,40.44140625
FIELD ANALOG INST- PLC,L5,5,12,L,s,False,CABLE TYPE,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,L5:L6,30.0,39.33203125
FIELD ANALOG INST- PLC,M5,5,13,M,s,False,"FERRULE:
FIELD END",,159,General,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,M5:M6,30.0,40.44140625
FIELD ANALOG INST- PLC,N5,5,14,N,s,False,ORIGINATING FROM FIELD END,,161,General,Aptos,18.0,True,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,N5:P5,30.0,31.0
FIELD ANALOG INST- PLC,Q5,5,17,Q,s,False,REMARKS,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,Q5:Q6,30.0,17.109375
FIELD ANALOG INST- PLC,AE5,5,31,AE,n,False,,,10,General,Arial,10.0,False,False,,,solid,FFFFFF00,,,,0,,medium,,,True,False,,,,,30.0,13.0
FIELD ANALOG INST- PLC,C6,6,3,C,s,False,CABLE TAG,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,31.0
FIELD ANALOG INST- PLC,D6,6,4,D,s,False,CABLE TYPE,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,26.21875
FIELD ANALOG INST- PLC,E6,6,5,E,s,False,TERMINAL BLOCK,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,18.88671875
FIELD ANALOG INST- PLC,F6,6,6,F,s,False,TERMINALS,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,20.109375
FIELD ANALOG INST- PLC,I6,6,9,I,s,False,EQUIPMENT,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,21.0
FIELD ANALOG INST- PLC,J6,6,10,J,s,False,TERMINAL,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,17.88671875
FIELD ANALOG INST- PLC,N6,6,14,N,s,False,CABLE/DEVICE TAG,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,31.0
FIELD ANALOG INST- PLC,O6,6,15,O,s,False,TERMINAL,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,17.88671875
FIELD ANALOG INST- PLC,P6,6,16,P,s,False,DESCRIPTION,,160,0,Aptos,18.0,True,False,,,,00000000,center,center,True,0,thin,thin,thin,thin,True,False,,,,,60.0,88.21875
FIELD ANALOG INST- PLC,AE6,6,31,AE,n,False,,,10,General,Arial,10.0,False,False,,,solid,FFFFFF00,,,,0,,medium,,,True,False,,,,,60.0,13.0
FIELD ANALOG INST- PLC,B7,7,2,B,s,False,ANALOG-FIELD INSTRUMENTS TO CONTROL PANEL(PLC),,163,0,Aptos,18.0,True,False,,,solid,Values must be of type <class 'str'>,center,center,True,0,thin,thin,thin,thin,True,False,,,,B7:Q7,30.0,12.88671875
FIELD ANALOG INST- PLC,AE7,7,31,AE,n,False,,,10,General,Arial,10.0,False,False,,,solid,FFFFFF00,,,,0,,medium,,,True,False,,,,,30.0,13.0
FIELD ANALOG INST- PLC,B8,8,2,B,n,False,1,,155,0,Aptos,18.0,False,False,,,,00000000,center,center,,0,thin,thin,thin,thin,True,False,,,,B8:B9,30.0,12.88671875
